Category,Title,Writer,Book_made,Sell_price,Image_uri
독일소설,데미안,헤르만 헤세,민음사,"7,200",http://image.kyobobook.co.kr/images/book/large/449/l9788937460449.jpg
독일소설,데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션),헤르만 헤세,더스토리,"10,800",http://image.kyobobook.co.kr/images/book/large/514/l9791159036514.jpg
독일소설,싯다르타,헤르만 헤세,민음사,"6,300",http://image.kyobobook.co.kr/images/book/large/586/l9788937460586.jpg
독일소설,차라투스트라는 이렇게 말했다,프리드리히 니체,민음사,"9,900",http://image.kyobobook.co.kr/images/book/large/944/l9788937460944.jpg
독일소설,동급생,프레드 울만,열린책들,"10,620",http://image.kyobobook.co.kr/images/book/large/143/l9788932918143.jpg
독일소설,수레바퀴 아래서,헤르만 헤세,민음사,"7,200",http://image.kyobobook.co.kr/images/book/large/500/l9788937460500.jpg
독일소설,젊은 베르테르의 슬픔,요한 볼프강 폰 괴테,민음사,"6,300",http://image.kyobobook.co.kr/images/book/large/258/l9788937460258.jpg
독일소설,삶의 한가운데,루이제 린저,민음사,"9,900",http://image.kyobobook.co.kr/images/book/large/289/l9788937460289.jpg
독일소설,데미안(초판본)(리커버 한정판)(1919년 오리지널 초판본 표지디자인)(블랙벨벳 에디션),헤르만 헤세,더스토리,"10,800",http://image.kyobobook.co.kr/images/book/large/866/l9791164452866.jpg
독일소설,싯다르타(초판본)(리커버 한정판)(1922년 오리지널 초판본 표지디자인)(블랙벨벳 에디션),헤르만 헤세,더스토리,"10,800",http://image.kyobobook.co.kr/images/book/large/880/l9791164452880.jpg
독일소설,깊이에의 강요,파트리크 쥐스킨트,열린책들,"11,520",http://image.kyobobook.co.kr/images/book/large/238/l9788932920238.jpg
독일소설,변신,프란츠 카프카,루이스 스카파티,"8,550",http://image.kyobobook.co.kr/images/book/large/200/l9788954600200.jpg
독일소설,명상 살인,카르스텐 두세,세계사,"14,220",http://image.kyobobook.co.kr/images/book/large/645/l9788933871645.jpg
독일소설,책상은 책상이다,페터 빅셀,위즈덤하우스,"9,000",http://image.kyobobook.co.kr/images/book/large/211/l9791189709211.jpg
독일소설,명상 살인. 2,카르스텐 두세,세계사,"14,220",http://image.kyobobook.co.kr/images/book/large/720/l9788933871720.jpg
독일소설,변신 시골의사,프란츠 카프카,민음사,"7,650",http://image.kyobobook.co.kr/images/book/large/043/l9788937460043.jpg
독일소설,좀머 씨 이야기,파트리크 쥐스킨트,장자크 상페,"11,520",http://image.kyobobook.co.kr/images/book/large/221/l9788932920221.jpg
독일소설,향수,파트리크 쥐스킨트,열린책들,"14,220",http://image.kyobobook.co.kr/images/book/large/290/l9788932920290.jpg
독일소설,수레바퀴 아래서(리커버 한정판)(초판본)(1906년 오리지널 초판본 표지디자인),헤르만 헤세,더스토리,"10,800",http://image.kyobobook.co.kr/images/book/large/521/l9791159036521.jpg
독일소설,안네의 일기,안네 프랑크,책세상,"15,300",http://image.kyobobook.co.kr/images/book/large/965/l9791159317965.jpg
독일소설,파우스트,요한 볼프강 폰 괴테,을유문화사,"16,200",http://image.kyobobook.co.kr/images/book/large/363/l9788932404363.jpg
독일소설,파우스트. 1,요한 볼프강 폰 괴테,민음사,"7,650",http://image.kyobobook.co.kr/images/book/large/210/l9788937460210.jpg
독일소설,책 읽어주는 남자,베른하르트 슐링크,시공사,"10,800",http://image.kyobobook.co.kr/images/book/large/568/l9788952768568.jpg
독일소설,파우스트 2,요한 볼프강 폰 괴테,민음사,"9,000",http://image.kyobobook.co.kr/images/book/large/227/l9788937460227.jpg
독일소설,카타리나 블룸의 잃어버린 명예,하인리히 뵐,민음사,"6,750",http://image.kyobobook.co.kr/images/book/large/804/l9788937461804.jpg
독일소설,폭풍의 시간,넬레 노이하우스,북로드,"13,320",http://image.kyobobook.co.kr/images/book/large/643/l9791158791643.jpg
독일소설,생의 한가운데,루이제 린저,문예출판사,"8,100",http://image.kyobobook.co.kr/images/book/large/352/l9788931003352.jpg
독일소설,데미안,헤르만 헤세,문학동네,"7,200",http://image.kyobobook.co.kr/images/book/large/147/l9788954620147.jpg
독일소설,안네의 일기,안네 프랑크,문예출판사,"8,100",http://image.kyobobook.co.kr/images/book/large/384/l9788931006384.jpg
독일소설,파우스트 세트,요한 볼프강 폰 괴테,길,"54,000",http://image.kyobobook.co.kr/images/book/large/103/l9788964452103.jpg
독일소설,청춘은 아름다워,헤르만 헤세,을유문화사,"13,500",http://image.kyobobook.co.kr/images/book/large/100/l9788932405100.jpg
