Category,Title,Writer,Book_made,Sell_price,Image_uri
영미소설,미드나잇 라이브러리(25만부 기념 퍼플 에디션),매트 헤이그,인플루엔셜,"14,220",http://image.kyobobook.co.kr/images/book/large/556/l9791191056556.jpg
영미소설,1984,조지 오웰,소담출판사,"13,320",http://image.kyobobook.co.kr/images/book/large/680/l9791160272680.jpg
영미소설,1984,조지 오웰,민음사,"8,550",http://image.kyobobook.co.kr/images/book/large/777/l9788937460777.jpg
영미소설,파친코. 2,이민진,문학사상,"13,050",http://image.kyobobook.co.kr/images/book/large/822/l9788970129822.jpg
영미소설,동물농장,조지 오웰,민음사,"6,300",http://image.kyobobook.co.kr/images/book/large/050/l9788937460050.jpg
영미소설,파친코. 1,이민진,문학사상,"13,050",http://image.kyobobook.co.kr/images/book/large/815/l9788970129815.jpg
영미소설,노인과 바다,어니스트 헤밍웨이,민음사,"7,200",http://image.kyobobook.co.kr/images/book/large/788/l9788937462788.jpg
영미소설,듄. 1(DUNE),프랭크 허버트,황금가지,"22,500",http://image.kyobobook.co.kr/images/book/large/544/l9791158887544.jpg
영미소설,프로젝트 헤일메리,앤디 위어,알에이치코리아,"16,650",http://image.kyobobook.co.kr/images/book/large/735/l9788925588735.jpg
영미소설,해리 포터와 마법사의 돌. 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,"8,100",http://image.kyobobook.co.kr/images/book/large/620/l9788983927620.jpg
영미소설,멋진 신세계,올더스 헉슬리,소담출판사,"12,420",http://image.kyobobook.co.kr/images/book/large/725/l9788973814725.jpg
영미소설,프랑켄슈타인,메리 셸리,현대지성,"7,920",http://image.kyobobook.co.kr/images/book/large/386/l9791166815386.jpg
영미소설,오만과 편견,제인 오스틴,민음사,"9,900",http://image.kyobobook.co.kr/images/book/large/883/l9788937460883.jpg
영미소설,해리 포터 시리즈 1~4권 세트(해리포터 20주년 개정판),J. K. 롤링,문학수첩,"83,700",http://image.kyobobook.co.kr/images/book/large/729/l9788983927729.jpg
영미소설,그리고 아무도 없었다,애거서 크리스티,해문출판사,"10,800",http://image.kyobobook.co.kr/images/book/large/010/l9788938201010.jpg
영미소설,봉제인형 살인사건,다니엘 콜,북플라자,"13,500",http://image.kyobobook.co.kr/images/book/large/931/l9788998274931.jpg
영미소설,호밀밭의 파수꾼,제롬 데이비드 샐린저,민음사,"7,200",http://image.kyobobook.co.kr/images/book/large/470/l9788937460470.jpg
영미소설,왜 나는 너를 사랑하는가,알랭 드 보통,청미래,"10,800",http://image.kyobobook.co.kr/images/book/large/240/l9788986836240.jpg
영미소설,마인드헌터,존 더글러스,비채,"13,500",http://image.kyobobook.co.kr/images/book/large/357/l9788934979357.jpg
영미소설,달과 6펜스,서머싯 몸,민음사,"8,100",http://image.kyobobook.co.kr/images/book/large/388/l9788937460388.jpg
영미소설,테라피스트,B. A. 패리스,모모,"14,400",http://image.kyobobook.co.kr/images/book/large/518/l9791191043518.jpg
영미소설,벼랑 위의 집,TJ Klune,든,"16,200",http://image.kyobobook.co.kr/images/book/large/422/l9791197461422.jpg
영미소설,나일 강의 죽음,애거서 크리스티,황금가지,"9,000",http://image.kyobobook.co.kr/images/book/large/819/l9788960177819.jpg
영미소설,앵무새 죽이기,하퍼 리,열린책들,"11,520",http://image.kyobobook.co.kr/images/book/large/207/l9788932917207.jpg
영미소설,듄 1-6 세트,프랭크 허버트,황금가지,"108,000",http://image.kyobobook.co.kr/images/book/large/605/l9791158887605.jpg
영미소설,해리 포터와 마법사의 돌. 2(해리포터 20주년 개정판),J. K. 롤링,문학수첩,"8,100",http://image.kyobobook.co.kr/images/book/large/637/l9788983927637.jpg
영미소설,해리 포터와 비밀의 방. 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,"8,100",http://image.kyobobook.co.kr/images/book/large/644/l9788983927644.jpg
영미소설,해리포터 시리즈 5~7탄 세트(해리포터 20주년 개정판),J. K. 롤링,문학수첩,"111,150",http://image.kyobobook.co.kr/images/book/large/092/l9788983928092.jpg
영미소설,여름,이디스 워튼,민음사,"10,800",http://image.kyobobook.co.kr/images/book/large/686/l9788937463686.jpg
