Category,Title,Writer,Book_made,Sell_price,Image_uri
일본소설,"오늘 밤, 세계에서 이 사랑이 사라진다 해도(20만 부 기념 리커버 에디션)",이치조 미사키,모모,"12,600",http://image.kyobobook.co.kr/images/book/large/297/l9791191043297.jpg
일본소설,인간 실격,다자이 오사무,민음사,"7,200",http://image.kyobobook.co.kr/images/book/large/033/l9788937461033.jpg
일본소설,허상의 어릿광대,히가시노 게이고,재인,"16,920",http://image.kyobobook.co.kr/images/book/large/940/l9788990982940.jpg
일본소설,요리코를 위해,노리즈키 린타로,모모,"13,500",http://image.kyobobook.co.kr/images/book/large/342/l9791196814342.jpg
일본소설,나미야 잡화점의 기적,히가시노 게이고,현대문학,"13,320",http://image.kyobobook.co.kr/images/book/large/194/l9788972756194.jpg
일본소설,백조와 박쥐,히가시노 게이고,현대문학,"16,200",http://image.kyobobook.co.kr/images/book/large/928/l9791190885928.jpg
일본소설,조인계획,히가시노 게이고,현대문학,"13,950",http://image.kyobobook.co.kr/images/book/large/869/l9791167900869.jpg
일본소설,소문,오기와라 히로시,모모,"14,850",http://image.kyobobook.co.kr/images/book/large/419/l9791191043419.jpg
일본소설,노르웨이의 숲,무라카미 하루키,민음사,"13,500",http://image.kyobobook.co.kr/images/book/large/488/l9788937434488.jpg
일본소설,백은의 잭,히가시노 게이고,소미미디어,"15,120",http://image.kyobobook.co.kr/images/book/large/034/l9791138405034.jpg
일본소설,세설(상),다니자키 준이치로,열린책들,"10,620",http://image.kyobobook.co.kr/images/book/large/677/l9788932909677.jpg
일본소설,여자 없는 남자들,무라카미 하루키,문학동네,"12,420",http://image.kyobobook.co.kr/images/book/large/586/l9788954625586.jpg
일본소설,세설(하),다니자키 준이치로,열린책들,"10,620",http://image.kyobobook.co.kr/images/book/large/684/l9788932909684.jpg
일본소설,여름은 오래 그곳에 남아,마쓰이에 마사시,비채,"12,600",http://image.kyobobook.co.kr/images/book/large/204/l9788934972204.jpg
일본소설,Re:제로부터 시작하는 이세계 생활 Ex. 5,나가츠키 탓페이,오츠카 신이치로,"6,750",http://image.kyobobook.co.kr/images/book/large/238/l9791138010238.jpg
일본소설,라이온의 간식,오가와 이토,알에이치코리아,"13,320",http://image.kyobobook.co.kr/images/book/large/245/l9788925579245.jpg
일본소설,설국,가와바타 야스나리,민음사,"6,300",http://image.kyobobook.co.kr/images/book/large/616/l9788937460616.jpg
일본소설,용의자 X의 헌신,히가시노 게이고,재인,"15,120",http://image.kyobobook.co.kr/images/book/large/704/l9788990982704.jpg
일본소설,네가 마지막으로 남긴 노래,이치조 미사키,모모,"12,600",http://image.kyobobook.co.kr/images/book/large/532/l9791191043532.jpg
일본소설,가면산장 살인사건,히가시노 게이고,재인,"13,320",http://image.kyobobook.co.kr/images/book/large/575/l9788990982575.jpg
일본소설,새 엄마가 데려온 딸이 전 여친이었다. 4,카미시로 쿄스케,타카야Ki,"7,020",http://image.kyobobook.co.kr/images/book/large/364/l9791127863364.jpg
일본소설,루팡의 딸. 3,요코제키 다이,북플라자,"13,500",http://image.kyobobook.co.kr/images/book/large/407/l9791190157407.jpg
일본소설,귀멸의 칼날 행복의 꽃,고토게 코요하루,야지마 아야,"6,300",http://image.kyobobook.co.kr/images/book/large/692/l9791134850692.jpg
일본소설,책벌레의 하극상 제5부 여신의 화신. 1+2022 캘린더 세트,카즈키 미야,시이나 유우,"19,800",http://image.kyobobook.co.kr/images/book/large/517/l9791167690517.jpg
일본소설,공중그네,오쿠다 히데오,은행나무,"12,420",http://image.kyobobook.co.kr/images/book/large/021/l9788956601021.jpg
일본소설,버터,유즈키 아사코,이봄,"16,020",http://image.kyobobook.co.kr/images/book/large/483/l9791190582483.jpg
일본소설,변변찮은 마술강사와 추상일지. 8,히츠지 타로,미시마 쿠로네,"7,020",http://image.kyobobook.co.kr/images/book/large/357/l9791127863357.jpg
일본소설,약사의 혼잣말. 10,휴우가 나츠,학산문화사,"8,100",http://image.kyobobook.co.kr/images/book/large/509/l9791134899509.jpg
일본소설,만년,다자이 오사무,민음사,"12,600",http://image.kyobobook.co.kr/images/book/large/822/l9788937463822.jpg
일본소설,돌이킬 수 없는 약속,야쿠마루 가쿠,북플라자,"13,500",http://image.kyobobook.co.kr/images/book/large/795/l9788998274795.jpg
일본소설,"내가 연인이 될 수 있을 리 없잖아, 무리무리!(무리가 아니었다?!). 4",미카미 테렌,타케시마 에쿠,"8,820",http://image.kyobobook.co.kr/images/book/large/298/l9791138407298.jpg
일본소설,악의,히가시노 게이고,현대문학,"12,600",http://image.kyobobook.co.kr/images/book/large/031/l9788972750031.jpg
일본소설,라플라스의 마녀,히가시노 게이고,현대문학,"13,320",http://image.kyobobook.co.kr/images/book/large/573/l9788972757573.jpg
일본소설,너는 기억 못하겠지만,후지마루,아르테(arte),"12,600",http://image.kyobobook.co.kr/images/book/large/976/l9788950978976.jpg
일본소설,바람이 강하게 불고 있다,미우라 시온,청미래,"15,120",http://image.kyobobook.co.kr/images/book/large/769/l9788986836769.jpg
일본소설,"아빠는 영웅, 엄마는 정령, 딸인 나는 전생자. 5",마츠우라,keepout,"8,550",http://image.kyobobook.co.kr/images/book/large/388/l9791127863388.jpg
일본소설,루팡의 딸. 2,요코제키 다이,북플라자,"13,500",http://image.kyobobook.co.kr/images/book/large/346/l9791190157346.jpg
일본소설,방황하는 칼날,히가시노 게이고,하빌리스,"15,300",http://image.kyobobook.co.kr/images/book/large/630/l9791136278630.jpg
일본소설,내 여동생이 이렇게 귀여울 리가 없어. 16,후시미 츠카사,칸자키 히로,"7,200",http://image.kyobobook.co.kr/images/book/large/083/l9791136290083.jpg
일본소설,너의 췌장을 먹고 싶어,스미노 요루,소미미디어,"12,420",http://image.kyobobook.co.kr/images/book/large/223/l9791157107223.jpg
일본소설,녹나무의 파수꾼,히가시노 게이고,소미미디어,"16,020",http://image.kyobobook.co.kr/images/book/large/064/l9791165075064.jpg
일본소설,후회하는 소녀와 축제의 밤,아키타케 사라다,알에이치코리아,"15,120",http://image.kyobobook.co.kr/images/book/large/965/l9788925578965.jpg
일본소설,마음,나쓰메소세키,현암사,"11,700",http://image.kyobobook.co.kr/images/book/large/960/l9788932317960.jpg
일본소설,사양,다자이 오사무,민음사,"9,000",http://image.kyobobook.co.kr/images/book/large/594/l9788937463594.jpg
일본소설,인간 실격(다자이 오사무 사후 70주년 특별판),다자이 오사무,시공사,"10,350",http://image.kyobobook.co.kr/images/book/large/620/l9788952790620.jpg
일본소설,고블린 슬레이어. 15,카규 쿠모,칸나츠키 노보루,"9,000",http://image.kyobobook.co.kr/images/book/large/180/l9791127863180.jpg
일본소설,정령환상기. 18,키타야마 유리,Riv,"6,750",http://image.kyobobook.co.kr/images/book/large/274/l9791138407274.jpg
일본소설,일인칭 단수,무라카미 하루키,문학동네,"13,050",http://image.kyobobook.co.kr/images/book/large/987/l9788954675987.jpg
일본소설,상실의 시대(원제: 노르웨이의 숲),무라카미 하루키,문학사상사,"13,500",http://image.kyobobook.co.kr/images/book/large/691/l9788970123691.jpg
