Category,Title,Writer,Book_made,Sell_price,Image_uri
러시아소설,죄와 벌. 1,도스토예프스키,민음사,"9,000",http://image.kyobobook.co.kr/images/book/large/849/l9788937462849.jpg
러시아소설,죄와 벌. 2,도스토예프스키,민음사,"9,000",http://image.kyobobook.co.kr/images/book/large/856/l9788937462856.jpg
러시아소설,카라마조프 가의 형제들 세트,표도로 도스토예프스키,민음사,"23,400",http://image.kyobobook.co.kr/images/book/large/067/l9788937486067.jpg
러시아소설,안나 카레니나 세트,레프 니콜라예비치 톨스토이,민음사,"27,720",http://image.kyobobook.co.kr/images/book/large/074/l9788937486074.jpg
러시아소설,사람은 무엇으로 사는가(러시아 원전 번역본),레프 톨스토이,현대지성,"6,930",http://image.kyobobook.co.kr/images/book/large/630/l9791191280630.jpg
러시아소설,체호프 희곡선(을유세계문학전집 리커버 에디션 한정판),안톤 파블로비치 체호프,을유문화사,"12,600",http://image.kyobobook.co.kr/images/book/large/851/l9788932404851.jpg
러시아소설,도스토옙스키 탄생 200주년 기념판,표도르 도스토옙스키,열린책들,"164,160",http://image.kyobobook.co.kr/images/book/large/815/l9788932921815.jpg
러시아소설,체호프 단편선,안톤 체호프,민음사,"6,300",http://image.kyobobook.co.kr/images/book/large/708/l9788937460708.jpg
러시아소설,바냐 아저씨,안톤 체호프,더클래식,"7,920",http://image.kyobobook.co.kr/images/book/large/856/l9791164453856.jpg
러시아소설,이반 일리치의 죽음 광인의 수기,레프 똘스또이,열린책들,"8,820",http://image.kyobobook.co.kr/images/book/large/387/l9788932912387.jpg
러시아소설,죄와 벌(하),표도르 미하일로비치 도스또예프스끼,열린책들,"8,820",http://image.kyobobook.co.kr/images/book/large/165/l9788932909165.jpg
러시아소설,이반 데니소비치 수용소의 하루,알렉산드르 솔제니친,민음사,"6,300",http://image.kyobobook.co.kr/images/book/large/135/l9788937460135.jpg
러시아소설,지하로부터의 수기,표도르 도스토예프스키,민음사,"8,100",http://image.kyobobook.co.kr/images/book/large/399/l9788937462399.jpg
러시아소설,닥터 지바고. 1,보리스 파스테르나크,민음사,"11,700",http://image.kyobobook.co.kr/images/book/large/617/l9788937463617.jpg
러시아소설,닥터 지바고. 2,보리스 파스테르나크,민음사,"12,600",http://image.kyobobook.co.kr/images/book/large/624/l9788937463624.jpg
러시아소설,백치. 1,표도르 도스토옙스키,문학동네,"13,500",http://image.kyobobook.co.kr/images/book/large/432/l9788954683432.jpg
러시아소설,백치. 2,표도르 도스토옙스키,문학동네,"13,500",http://image.kyobobook.co.kr/images/book/large/449/l9788954683449.jpg
러시아소설,죄와 벌(상),표도르 도스토예프스키,을유문화사,"10,800",http://image.kyobobook.co.kr/images/book/large/878/l9788932403878.jpg
